instr_id,easting,northing,field,review_value,review_name
1201/TCA/GSM/001,811768.8693,816511.6312,"""Calculated Settlement""",-12,Alert
1201/TCA/GSM/001,811768.8693,816511.6312,"""Calculated Settlement""",-18,Alarm
1201/TCA/GSM/001,811768.8693,816511.6312,"""Calculated Settlement""",-25,Action
1201/TCA/GSM/001_GSM/001_I,811768.868,816511.63,"""Calculated_Difference_in_Settlement""",3,Alert
1201/TCA/GSM/001_GSM/001_I,811768.868,816511.63,"""Calculated_Difference_in_Settlement""",-3,Alert
1201/TCA/GSM/001_GSM/001_I,811768.868,816511.63,"""Calculated_Difference_in_Settlement""",,Alarm
1201/TCA/GSM/001_GSM/001_I,811768.868,816511.63,"""Calculated_Difference_in_Settlement""",,Alarm
1201/TCA/GSM/001_GSM/001_I,811768.868,816511.63,"""Calculated_Difference_in_Settlement""",,Action
1201/TCA/GSM/001_GSM/001_I,811768.868,816511.63,"""Calculated_Difference_in_Settlement""",,Action
1201/TCA/GSM/002,811761.2884,816502.9924,"""Calculated Settlement""",-12,Alert
1201/TCA/GSM/002,811761.2884,816502.9924,"""Calculated Settlement""",-18,Alarm
1201/TCA/GSM/002,811761.2884,816502.9924,"""Calculated Settlement""",-25,Action
1201/TCA/GSM/002_GSM/002_I,811761.287,816502.993,"""Calculated_Difference_in_Settlement""",3,Alert
1201/TCA/GSM/002_GSM/002_I,811761.287,816502.993,"""Calculated_Difference_in_Settlement""",-3,Alert
1201/TCA/GSM/002_GSM/002_I,811761.287,816502.993,"""Calculated_Difference_in_Settlement""",,Alarm
1201/TCA/GSM/002_GSM/002_I,811761.287,816502.993,"""Calculated_Difference_in_Settlement""",,Alarm
1201/TCA/GSM/002_GSM/002_I,811761.287,816502.993,"""Calculated_Difference_in_Settlement""",,Action
1201/TCA/GSM/002_GSM/002_I,811761.287,816502.993,"""Calculated_Difference_in_Settlement""",,Action
1201/TCA/GSM/003,811730.0089,816498.5906,"""Calculated Settlement""",-12,Alert
1201/TCA/GSM/003,811730.0089,816498.5906,"""Calculated Settlement""",-18,Alarm
1201/TCA/GSM/003,811730.0089,816498.5906,"""Calculated Settlement""",-25,Action
1201/TCA/GSM/003_GSM/003_I,811730.008,816498.59,"""Calculated_Difference_in_Settlement""",3,Alert
1201/TCA/GSM/003_GSM/003_I,811730.008,816498.59,"""Calculated_Difference_in_Settlement""",-3,Alert
1201/TCA/GSM/003_GSM/003_I,811730.008,816498.59,"""Calculated_Difference_in_Settlement""",,Alarm
1201/TCA/GSM/003_GSM/003_I,811730.008,816498.59,"""Calculated_Difference_in_Settlement""",,Alarm
1201/TCA/GSM/003_GSM/003_I,811730.008,816498.59,"""Calculated_Difference_in_Settlement""",,Action
1201/TCA/GSM/003_GSM/003_I,811730.008,816498.59,"""Calculated_Difference_in_Settlement""",,Action
1201/TCA/GSM/004,811694.4883,816522.0693,"""Calculated Settlement""",-12,Alert
1201/TCA/GSM/004,811694.4883,816522.0693,"""Calculated Settlement""",-18,Alarm
1201/TCA/GSM/004,811694.4883,816522.0693,"""Calculated Settlement""",-25,Action
1201/TCA/GSM/004_GSM/004_I,811694.489,816522.068,"""Calculated_Difference_in_Settlement""",3,Alert
